datetime,ppm,temp,rh,ppm_std,ppm_kurt,temp_std,temp_kurt,rh_std,rh_kurt,class
2021-11-08 10:14:00,586.21,28.59,68.755,0.0,0.0,0.0,0.0,0.03535533905932034,0.0,3.0
2021-11-08 10:14:30,586.21,28.6,68.8,0.0,0.0,0.0,0.0,0.03535533905932034,0.0,3.0
2021-11-08 10:15:00,607.03,28.6,68.74,0.0,0.0,0.0,0.0,0.03535533905932034,0.0,3.0
2021-11-08 10:15:30,607.03,28.615,68.89500000000001,0.0,0.0,0.0070710678118653236,0.0,0.0777817459305148,0.0,3.0
2021-11-08 10:16:00,607.03,28.63,68.95,0.0,0.0,0.0070710678118653236,0.0,0.0777817459305148,0.0,3.0
2021-11-08 10:16:30,607.03,28.65,68.67,0.0,0.0,0.0070710678118653236,0.0,0.0777817459305148,0.0,3.0
2021-11-08 10:17:00,581.1700000000002,28.66,68.43,7.127636354360467,0.0,0.0,0.0,0.0,0.0,3.0
2021-11-08 10:17:30,528.73,28.66,68.41,7.127636354360467,0.0,0.0,0.0,0.0,0.0,3.0
2021-11-08 10:18:00,528.73,28.65,68.36,7.127636354360467,0.0,0.0,0.0,0.0,0.0,3.0
2021-11-08 10:18:30,607.03,28.68,68.48,7.127636354360467,0.0,0.0,0.0,0.0,0.0,3.0
2021-11-08 10:19:00,537.83,28.69,68.45,7.127636354360467,0.0,0.0,0.0,0.0,0.0,3.0
2021-11-08 10:19:30,586.21,28.69,68.29,7.127636354360467,0.0,0.0,0.0,0.0,0.0,3.0
2021-11-08 10:20:00,581.8050000000002,28.705,68.3,35.67353711086132,0.0,0.007071067811867836,0.0,0.08485281374238891,0.0,3.0
2021-11-08 10:20:30,607.03,28.72,68.48,35.67353711086132,0.0,0.007071067811867836,0.0,0.08485281374238891,0.0,3.0
2021-11-08 10:21:00,537.83,28.73,68.45,35.67353711086132,0.0,0.007071067811867836,0.0,0.08485281374238891,0.0,3.0
2021-11-08 10:21:30,607.03,28.74,68.28999999999999,0.0,0.0,0.0,0.0,0.014142135623723113,0.0,3.0
2021-11-08 10:22:00,547.11,28.74,68.21,0.0,0.0,0.0,0.0,0.014142135623723113,0.0,3.0
2021-11-08 10:22:30,607.03,28.75,68.08,0.0,0.0,0.0,0.0,0.014142135623723113,0.0,3.0
2021-11-08 10:23:00,596.62,28.77,68.11,14.721963184303876,0.0,0.0,0.0,0.05656854249493265,0.0,3.0
2021-11-08 10:23:30,607.03,28.77,68.19,14.721963184303876,0.0,0.0,0.0,0.05656854249493265,0.0,3.0
2021-11-08 10:24:00,586.21,28.79,68.07,14.721963184303876,0.0,0.0,0.0,0.05656854249493265,0.0,3.0
2021-11-08 10:24:30,586.21,28.815,68.14500000000001,0.0,0.0,0.007071067811867836,0.0,0.07778174593052485,0.0,3.0
2021-11-08 10:25:00,528.73,28.81,67.84,0.0,0.0,0.007071067811867836,0.0,0.07778174593052485,0.0,3.0
2021-11-08 10:25:30,586.21,28.81,68.01,0.0,0.0,0.007071067811867836,0.0,0.07778174593052485,0.0,3.0
2021-11-08 10:26:00,572.4300000000002,28.825,68.03,48.931789258109,0.0,0.0070710678118640685,0.0,0.028284271247456274,0.0,3.0
2021-11-08 10:26:30,547.11,28.84,68.01,48.931789258109,0.0,0.0070710678118640685,0.0,0.028284271247456274,0.0,3.0
2021-11-08 10:27:00,607.03,28.84,67.83,48.931789258109,0.0,0.0070710678118640685,0.0,0.028284271247456274,0.0,3.0
2021-11-08 10:27:30,537.83,28.86,67.85,48.931789258109,0.0,0.0070710678118640685,0.0,0.028284271247456274,0.0,3.0
