datetime,ppm,temp,rh,class
2021-08-11 08:14:16,443.58,27.12,70.96,3
2021-08-11 08:14:38,443.58,27.12,70.92,3
2021-08-11 08:15:01,459.1,27.12,71.04,3
2021-08-11 08:15:24,374.78,27.11,71.1,3
2021-08-11 08:15:46,451.26,27.12,71.11,3
2021-08-11 08:16:09,407.44,27.13,70.88,3
2021-08-11 08:16:31,451.26,27.14,71.16,3
2021-08-11 08:16:54,443.58,27.14,71.02,3
2021-08-11 08:17:17,421.46,27.14,70.87,3
2021-08-11 08:17:39,362.6,27.14,70.91,3
2021-08-11 08:18:02,428.68,27.15,70.88,3
2021-08-11 08:18:24,443.58,27.15,70.95,3
2021-08-11 08:18:47,451.26,27.15,71.36,3
2021-08-11 08:19:10,443.58,27.16,71.1,3
2021-08-11 08:19:32,443.58,27.16,71.11,3
2021-08-11 08:19:55,451.26,27.17,71.02,3
2021-08-11 08:20:18,451.26,27.15,71.57,3
2021-08-11 08:20:40,451.26,27.14,71.56,3
2021-08-11 08:21:03,374.78,27.14,71.39,3
2021-08-11 08:21:25,451.26,27.15,71.36,3
2021-08-11 08:21:48,374.78,27.17,71.5,3
2021-08-11 08:22:58,451.26,27.18,71.48,3
2021-08-11 08:23:20,374.78,27.18,71.29,3
2021-08-11 08:23:43,407.44,27.18,71.3,3
2021-08-11 08:24:05,407.44,27.18,71.3,3
2021-08-11 08:24:28,414.38,27.17,71.62,3
2021-08-11 08:24:51,381.05,27.22,71.46,3
2021-08-11 08:25:13,339.62,27.22,71.32,3
2021-08-11 08:25:36,414.38,27.23,71.24,3
2021-08-11 08:25:58,414.38,27.22,71.24,3
2021-08-11 08:26:21,421.46,27.21,71.24,3
2021-08-11 08:26:44,414.38,27.22,71.43,3
2021-08-11 08:27:07,350.89,27.22,71.27,3
2021-08-11 08:27:29,362.6,27.22,71.29,3
2021-08-11 08:27:52,374.78,27.23,71.34,3
2021-08-11 08:28:14,362.6,27.22,71.45,3
2021-08-11 08:28:37,362.6,27.21,71.62,3
2021-08-11 08:29:00,374.78,27.2,72.23,3
2021-08-11 08:29:23,381.05,27.23,71.89,3
2021-08-11 08:29:45,374.78,27.24,71.96,3
2021-08-11 08:30:08,387.45,27.25,71.8,3
2021-08-11 08:30:31,387.45,27.26,71.56,3
2021-08-11 08:30:53,387.45,27.26,71.67,3
2021-08-11 08:31:16,387.45,27.25,71.56,3
2021-08-11 08:31:39,339.62,27.27,71.85,3
2021-08-11 08:32:01,374.78,27.27,71.6,3
2021-08-11 08:32:24,328.78,27.27,71.48,3
2021-08-11 08:32:47,400.65,27.26,71.54,3
2021-08-11 08:33:09,339.62,27.26,71.59,3
2021-08-11 08:33:32,414.38,27.25,71.65,3
2021-08-11 08:33:55,381.05,27.26,71.61,3
2021-08-11 08:34:17,381.05,27.25,71.6,3
2021-08-11 08:34:40,387.45,27.24,71.63,3
2021-08-11 08:35:03,407.44,27.27,71.67,3
2021-08-11 08:35:25,387.45,27.27,71.61,3
2021-08-11 08:35:48,407.44,27.27,71.59,3
2021-08-11 08:36:11,414.38,27.27,71.6,3
2021-08-11 08:36:33,414.38,27.27,71.61,3
2021-08-11 08:36:56,414.38,27.27,71.61,3
2021-08-11 08:37:19,436.05,27.28,71.61,3
