403.229,26.998,71.559,30.209,0.987,0.102,-1.023,0.345,-1.295,2.0
413.117,27.217,71.0,33.743,-0.141,0.092,1.532,0.341,-1.339,2.0
434.497,27.451,70.327,36.489,-0.311,0.024,-1.174,0.164,-0.203,3.0
455.646,27.568,70.094,18.786,3.062,0.043,-1.205,0.083,-1.212,3.0
457.682,27.607,69.648,22.334,-0.208,0.025,-0.807,0.215,-0.592,3.0
450.529,27.676,69.545,20.183,1.368,0.037,-0.136,0.136,0.306,3.0
397.117,27.837,69.16,52.097,-1.655,0.041,-0.963,0.191,-1.153,3.0
414.175,27.917,69.131,44.683,-0.936,0.018,-0.552,0.106,0.588,3.0
450.293,27.874,69.016,24.361,1.921,0.034,0.163,0.129,1.483,3.0
455.292,27.914,68.567,15.616,5.062,0.028,-0.023,0.258,-0.858,3.0
402.058,28.077,68.209,21.71,-1.044,0.038,0.148,0.203,-1.096,2.0
406.443,28.181,67.521,8.968,-1.14,0.057,-0.773,0.187,-0.838,2.0
405.686,28.28,67.655,22.141,0.632,0.03,-0.806,0.138,-0.239,2.0
400.223,28.39,67.488,21.559,1.367,0.057,-0.958,0.123,-1.019,2.0
406.087,28.476,67.352,15.658,4.175,0.028,-1.077,0.09,-0.327,2.0
389.707,28.485,67.64,21.313,-1.392,0.026,-0.18,0.193,-1.036,2.0
384.659,28.526,67.532,17.597,-1.087,0.031,-0.209,0.24,2.143,2.0
358.058,28.679,66.524,31.118,10.773,0.031,0.501,0.336,-1.383,1.0
401.255,28.687,66.093,60.374,-1.078,0.041,-1.172,0.341,-0.499,2.0
392.689,28.664,66.102,22.77,0.387,0.027,1.204,0.122,0.485,1.0
367.245,28.735,66.015,29.366,0.387,0.007,1.204,0.021,0.485,1.0
381.503,27.053,72.522,25.168,0.945,0.01,1.702,0.048,-1.123,1.0
380.539,27.039,72.914,23.203,0.144,0.019,-1.167,0.203,-0.967,1.0
371.948,27.144,73.175,19.564,1.422,0.057,-1.664,0.094,-0.595,1.0
368.77,27.18,73.02,19.564,1.422,0.057,-1.664,0.094,-0.595,1.0
370.764,25.831,71.198,24.66,0.756,0.067,-0.724,0.421,-1.007,1.0
341.886,25.727,72.099,11.338,4.772,0.011,-0.853,0.233,-0.582,1.0
321.168,25.709,72.706,38.998,-0.383,0.03,-1.375,0.295,-1.593,1.0
371.266,25.777,72.838,43.894,0.368,0.028,0.092,0.079,-1.14,1.0
390.483,25.795,73.227,34.652,-1.406,0.049,-1.421,0.109,7.898,1.0
374.056,25.917,73.077,28.444,0.693,0.029,0.252,0.063,0.291,1.0
421.194,26.108,72.781,23.992,-0.281,0.062,-0.338,0.159,-0.811,2.0
441.085,26.22,72.55,15.493,-0.281,0.0,-0.338,0.099,-0.811,2.0
394.678,25.732,65.73,23.119,-1.546,0.018,0.313,0.103,-2.641,1.0
416.85,25.942,65.703,20.995,-1.767,0.12,-1.163,0.226,-1.07,1.0
436.852,26.098,65.546,18.958,1.554,0.078,-1.723,0.079,-1.191,2.0
443.479,26.384,65.557,22.713,-0.301,0.073,-1.065,0.082,-0.511,2.0
448.405,26.565,65.686,54.07,8.987,0.082,0.536,0.269,0.8,3.0
483.4,26.862,65.033,35.16,-0.829,0.069,-1.103,0.224,1.515,3.0
522.911,27.116,64.653,20.268,0.949,0.054,-0.446,0.284,-1.076,3.0
